time,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,Furnace,Kitchen,year,month,day,weekofyear,hour,minute,use_HO,gen_Sol,weekday,timing
2016-01-01 05:00:00,6.361998333333333e-05,0.2418141666166666,0.03786111113333334,0.06335055554999999,0.01304611105,0.03888055558333332,0.0010422223666666668,0.0216516667,0.0015047223000000003,36.131000000000036,0.6196666666666667,10.0,29.264666666666663,1016.8880000000014,9.150333333333334,0.75,282.1,0.0,24.38333333333335,0.0,0.3931880555333334,0.0008205683666666668,2016.0,1.0,1.0,53.0,5.0,29.5,1.0441297222333332,0.0033069444333333315,0,2
2016-01-01 06:00:00,9.917223333333333e-05,0.04329361109999999,0.07552194443333332,0.1129416667,0.012836111083333332,0.03918138889999999,0.0010208334333333335,0.004216111083333336,0.0016180555666666663,35.838666666666626,0.6099999999999997,10.0,29.364666666666682,1016.2320000000002,8.284000000000004,0.75,284.73333333333335,0.0,23.866000000000017,0.0,0.45670750001666666,0.000748624466666667,2016.0,1.0,1.0,53.0,6.0,29.5,0.9181669444666667,0.0034216666666666688,0,2
2016-01-01 07:00:00,4.250666666666666e-05,0.04341611106666666,0.059485555600000004,0.007184166649999998,0.013298611066666667,0.03443916666666667,0.0010138889333333335,0.004245555533333335,0.0016286110999999997,35.38500000000003,0.6129999999999998,10.0,29.033999999999967,1015.9890000000009,7.926999999999996,0.75,279.4,0.0,23.469000000000015,0.0,0.37216999999999995,0.000726404383333333,2016.0,1.0,1.0,53.0,7.0,29.5,0.7147361110833335,0.0034483333333333362,0,2
2016-01-01 08:00:00,0.0001383372666666667,0.06501388890000001,0.06041194445,0.007044722233333332,0.012925277783333336,0.034195000033333346,0.0010163889999999997,0.004274166633333335,0.001634444416666666,35.282,0.6400000000000003,10.0,30.39533333333334,1016.0419999999999,5.684666666666667,0.75,265.0,0.0,24.202666666666648,0.0,0.6163702777333333,0.0008055627999999998,2016.0,1.0,1.0,53.0,8.0,29.5,0.9600127777833333,0.00344749996666667,0,2
2016-01-01 09:00:00,6.028503333333333e-05,0.043391666599999996,0.03510583333333333,0.007142777766666667,0.013219999949999998,0.03182972219999999,0.0010136112166666668,0.004257777733333333,0.0016500000666666663,35.45166666666668,0.6416666666666667,10.0,29.673333333333343,1015.8149999999998,6.974999999999998,0.625,265.5,0.0,24.42333333333333,0.0,0.34384249995,0.0007958538166666663,2016.0,1.0,1.0,53.0,9.0,29.5,0.6398363888666666,0.003439166683333336,0,2
2016-01-01 10:00:00,7.221891666666665e-05,0.04323805553333334,0.05132805554999999,0.007189999983333335,0.013058055516666663,0.0341416667,0.001010277816666667,0.0042513889000000025,0.0016211111333333328,35.205999999999996,0.6519999999999989,10.0,29.714000000000002,1015.5759999999985,6.46599999999999,0.0,266.4,0.0,24.816,0.0,0.8606705555833332,0.0007486239333333335,2016.0,1.0,1.0,53.0,10.0,29.5,1.2194161110999997,0.003425833383333336,0,2
2016-01-01 11:00:00,8.389500000000001e-05,0.043267500049999984,0.05936027788333333,0.007114166699999997,0.013116944466666666,0.031761666683333314,0.0010113889833333334,0.004211944433333336,0.0016063888666666666,35.00633333333333,0.6599999999999995,10.0,29.55933333333333,1015.5736666666661,6.35266666666666,0.175,259.76666666666665,0.0,24.90133333333331,0.0,0.4551883333666665,0.0007889028333333334,2016.0,1.0,1.0,53.0,11.0,29.5,0.7987472222833334,0.0034224999500000017,0,2
2016-01-01 12:00:00,8.72294166666666e-05,0.042832500000000016,0.04872416659999999,0.006980555500000001,0.012913611100000003,0.031127222233333328,0.001012500133333333,0.004255277850000002,0.0015933333166666666,34.99866666666662,0.6653333333333333,10.0,29.932666666666623,1015.7073333333324,5.828666666666672,0.75,258.73333333333335,0.0,24.954666666666665,0.0,0.27021916671666674,0.0007861233166666666,2016.0,1.0,1.0,53.0,12.0,29.5,0.53705472215,0.0034188889333333344,0,0
2016-01-01 13:00:00,6.123333333333335e-06,0.04177805555000001,0.044278055499999996,0.007071388816666666,0.013098333333333344,0.030184166733333344,0.0010105556000000002,0.004206111100000003,0.0015619444333333334,35.091,0.6709999999999995,10.0,30.018000000000004,1015.6229999999986,5.858000000000006,0.75,257.1,0.0,25.26699999999999,0.0,0.08460638893333332,0.0006772433166666665,2016.0,1.0,1.0,53.0,13.0,29.5,0.35837666668333334,0.006484166599999999,0,0
2016-01-01 14:00:00,6.444613333333336e-05,0.041721666700000014,0.026720277816666672,0.006971388949999998,0.012861944433333336,0.028649166650000005,0.04232000006666665,0.01393694443333332,0.31517527780000004,36.106666666666705,0.6399999999999993,10.0,31.560000000000016,1015.6933333333333,5.413333333333331,0.75,249.33333333333334,0.0,25.199999999999974,0.0,0.2316725000166667,0.08118389896666668,2016.0,1.0,1.0,53.0,14.0,29.5,0.7567202778333332,0.11486611113333334,0,0
2016-01-01 15:00:00,0.00010638889999999995,0.04151694448333334,0.04380777783333333,0.007191666649999998,0.012896944400000002,0.028351944450000003,0.17217944446666672,0.004230277800000001,0.33378722218333334,36.901666666666635,0.6199999999999999,10.0,32.15333333333337,1015.5003333333342,5.9576666666666656,0.75,238.36666666666667,0.0,25.146000000000008,0.0,0.6808988888333334,0.0006864005000000002,2016.0,1.0,1.0,53.0,15.0,29.5,1.470580555599999,0.05157416666666668,0,0
